TV,Radio,Newspaper,Sales
112.36,32.1,12.37,13.53
285.21,4.21,108.31,19.26
219.6,8.08,60.63,17.34
179.6,44.93,99.17,18.29
46.81,30.32,38.41,10.26
46.8,0.46,107.46,6.07
17.43,5.07,46.7,10.88
259.85,33.18,1.3,22.06
180.33,0.25,108.65,13.73
212.42,8.04,10.95,17.12
6.18,27.44,38.32,8.76
290.97,34.59,114.01,24.4
249.73,32.6,114.07,23.77
63.7,11.21,68.81,11.73
54.55,35.61,75.82,11.7
55.02,11.86,53.81,8.56
91.27,16.27,35.19,11.32
157.43,37.32,39.44,13.14
129.58,32.48,80.7,13.15
87.37,42.46,90.28,18.1
183.56,32.88,94.99,22.36
41.85,28.42,94.75,10.95
87.64,4.68,10.94,11.21
109.91,18.39,59.33,13.92
136.82,13.26,6.91,19.66
235.55,12.2,65.94,21.14
59.9,48.65,52.98,14.11
154.27,19.65,106.52,14.23
177.72,44.6,42.11,16.45
13.94,31.56,14.05,10.03
182.26,39.74,17.16,17.54
51.16,25.13,91.38,8.64
19.52,28.85,74.19,8.89
284.67,24.63,12.13,20.15
289.69,9.76,10.09,24.13
242.52,36.12,84.12,24.06
91.38,14.04,8.73,11.33
29.3,1.22,98.62,10.56
205.27,32.27,84.75,20.14
132.05,8.86,9.76,11.04
36.61,47.02,10.18,15.62
148.55,47.7,118.4,20.41
10.32,45.74,44.91,9.38
272.8,18.51,44.48,20.93
77.63,0.77,97.54,8.2
198.76,46.42,113.67,18.88
93.51,21.41,118.32,15.28
156.02,48.33,90.41,23.32
164.01,48.18,45.15,16.64
55.46,42.65,10.02,14.12
290.88,14.72,93.26,20.94
232.54,19.25,67.01,18.63
281.85,42.56,50.91,23.52
268.45,15.85,108.76,19.68
179.37,8.47,13.34,15.22
276.56,27.84,59.12,21.1
26.55,46.81,1.36,12.5
58.79,34.8,56.24,12.58
13.57,28.5,6.76,8.69
97.6,4.86,14.26,8.79
116.6,30.75,14.1,13.51
81.4,49.5,77.91,17.3
248.62,7.0,89.53,20.17
107.03,25.92,70.0,12.21
84.28,43.87,115.46,15.83
162.81,37.04,44.98,19.54
42.28,34.85,34.29,8.3
240.66,35.12,104.23,23.38
22.37,17.97,26.83,7.22
296.07,14.68,115.59,23.86
231.67,40.47,1.46,19.93
59.61,40.51,116.39,10.4
1.66,43.35,5.18,7.08
244.64,45.66,106.94,23.88
212.06,25.57,63.32,19.82
218.7,25.08,119.16,18.33
231.38,39.91,8.86,22.72
22.21,32.5,66.46,7.35
107.54,35.1,116.32,15.62
34.76,39.79,62.77,9.72
258.93,44.5,75.53,22.74
186.99,16.9,83.49,17.31
99.27,18.78,54.54,11.04
19.07,4.7,75.31,6.5
93.29,28.91,70.12,15.85
97.55,1.8,108.14,10.02
218.88,23.28,5.45,20.46
191.27,27.13,33.72,15.9
266.16,14.33,114.05,22.23
141.66,29.54,106.83,19.58
35.88,1.53,54.68,2.58
213.97,1.87,74.42,15.07
228.24,41.13,33.29,22.83
168.38,18.01,22.57,15.4
231.29,6.35,55.64,18.63
148.14,26.11,42.4,14.76
156.82,38.5,70.04,18.33
128.26,10.79,9.33,12.49
7.63,31.14,116.93,12.62
32.37,4.27,118.35,8.82
9.43,2.58,83.78,7.29
190.92,26.57,64.33,17.55
94.31,27.03,37.14,12.36
152.57,31.87,97.66,16.56
272.27,36.3,82.17,24.58
74.79,48.79,19.51,13.95
123.11,25.82,109.31,15.93
226.67,16.15,98.7,23.41
68.64,39.76,113.98,16.09
23.09,13.54,87.09,8.0
86.93,21.95,73.61,15.12
48.37,3.92,50.19,7.57
278.91,1.27,111.93,16.14
242.44,48.13,103.93,21.92
190.02,41.8,5.43,15.83
261.44,34.8,3.16,21.58
241.1,20.45,45.18,20.0
55.97,8.66,97.27,13.16
267.77,7.82,118.47,21.17
161.8,12.51,18.05,14.33
242.23,27.46,71.3,22.78
268.83,35.73,45.71,18.76
95.4,33.01,116.39,15.37
33.02,14.0,101.05,10.88
68.38,47.74,100.6,12.2
128.13,36.89,56.24,18.68
245.4,27.72,49.78,21.77
258.22,30.59,32.81,21.08
2.09,20.98,6.77,8.96
153.22,12.39,103.77,19.73
125.22,17.8,97.55,14.74
66.63,37.89,119.97,14.57
35.96,0.72,119.6,7.16
101.28,5.8,66.65,9.73
282.87,2.3,92.28,22.0
96.96,2.04,113.37,9.51
155.64,42.77,101.96,19.08
210.91,35.18,29.68,19.11
109.09,23.71,54.07,14.8
291.53,4.89,15.5,20.99
288.73,24.58,114.49,25.61
75.53,23.67,72.74,11.32
149.17,8.66,27.44,13.23
90.26,21.69,80.6,10.96
85.45,19.93,74.18,11.52
11.07,30.79,42.98,10.43
182.87,31.75,13.63,19.6
150.8,2.27,80.59,11.77
15.44,18.73,62.44,10.38
83.59,31.29,92.68,16.57
272.48,25.16,62.42,23.09
71.87,42.82,102.26,18.51
43.47,32.93,66.23,10.24
146.84,8.15,67.31,11.5
295.7,3.53,105.2,17.7
72.62,32.12,48.42,15.96
201.64,1.33,16.08,16.71
228.49,29.29,3.45,19.86
71.29,47.01,90.62,15.67
218.46,28.77,74.44,17.87
110.33,19.41,84.49,18.58
189.69,32.16,25.56,18.86
190.06,22.91,16.36,17.63
160.73,27.28,1.75,17.78
27.09,47.07,42.07,13.39
250.59,19.31,70.79,21.0
96.23,48.06,47.07,14.47
55.96,45.27,52.5,14.7
12.23,9.79,108.5,11.64
177.27,3.47,41.79,17.39
203.27,5.04,61.68,19.57
4.98,0.91,94.04,5.28
153.63,4.72,47.59,11.74
67.95,34.15,74.65,12.99
193.55,3.56,103.48,16.25
52.31,15.95,113.94,12.86
207.28,42.24,17.65,17.22
116.02,1.16,111.19,15.11
281.02,40.72,59.05,24.21
41.26,14.09,30.99,8.21
102.32,5.91,55.1,9.35
34.04,34.84,117.6,8.75
277.41,31.45,59.11,24.88
263.2,43.87,39.45,23.97
77.38,36.75,76.01,11.46
198.0,40.17,28.82,17.42
245.17,14.1,9.1,18.37
166.56,8.87,15.47,17.89
158.9,37.53,15.37,17.08
72.56,40.34,18.23,10.64
27.93,49.53,16.66,12.02
269.16,20.63,76.9,21.16
270.13,18.6,21.83,15.56
189.93,38.82,41.48,19.46
101.71,17.04,107.61,12.74
104.76,46.54,56.88,17.78
217.79,42.92,80.11,25.54
269.13,21.45,20.68,23.49
266.13,37.54,23.07,22.5
233.96,37.73,4.9,19.06
